"Image_date","area_kelp","Year","month","day","hour","Caldera","Valparaiso","tide","tide.caldera","tide.valparaiso","localpass","perfecttide","perfect.tide.sat"
2015-08-18,15.8112653333333,2015,8,18,11,0.864,0.3,"low","low","low","oksatellite","perfecttide","perfect satellite"
2015-08-18,15.8112653333333,2015,8,18,12,1.066,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2016-08-25,21.28340144,2016,8,25,11,1.152,0.75,"low","low","low","oksatellite","perfecttide","perfect satellite"
2016-08-25,21.28340144,2016,8,25,12,0.987,0.62,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-01-19,18.4934986,2017,1,19,11,1.014,0.68,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-01-19,18.4934986,2017,1,19,12,0.918,0.54,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-02-18,23.61360799,2017,2,18,11,1.054,0.65,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-02-18,23.61360799,2017,2,18,12,0.995,0.59,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-02-28,6.729553766,2017,2,28,12,1.167,0.54,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-02-28,6.729553766,2017,2,28,11,0.907,0.29,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-04-02,22.53722585,2017,4,2,12,0.859,0.29,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-04-02,22.53722585,2017,4,2,11,0.804,0.33,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-06-01,13.67778192,2017,6,1,11,1.111,0.71,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-06-01,13.67778192,2017,6,1,12,1.006,0.65,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-07-13,10.12857579,2017,7,13,11,0.825,0.4,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-07-13,10.12857579,2017,7,13,12,0.989,0.48,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-07-16,21.90824393,2017,7,16,11,0.97,0.57,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-07-16,21.90824393,2017,7,16,12,0.89,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-08-25,25.37075186,2017,8,25,11,0.772,0.2,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-08-25,25.37075186,2017,8,25,12,0.947,0.4,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-09-14,49.19823645,2017,9,14,12,1.081,0.74,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-10-21,9.23526493,2017,10,21,12,1.179,0.56,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-10-21,9.23526493,2017,10,21,11,0.929,0.31,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-11-10,5.589568577,2017,11,10,11,0.938,0.64,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-11-10,5.589568577,2017,11,10,12,0.764,0.4,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-01-09,33.7942285,2018,1,9,12,0.975,0.66,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-08,15.58320516,2018,3,8,11,0.908,0.57,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-08,15.58320516,2018,3,8,12,0.852,0.48,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-10,20.02281245,2018,3,10,11,1.134,0.78,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-10,20.02281245,2018,3,10,12,1.022,0.74,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-20,6.920369911,2018,3,20,12,1.092,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-20,6.920369911,2018,3,20,11,0.836,0.28,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-04-07,17.20550335,2018,4,7,12,1.083,0.66,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-04-07,17.20550335,2018,4,7,11,1.103,0.71,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-05-17,7.781724025,2018,5,17,11,1.112,0.56,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-05-19,2.99133381,2018,5,19,12,1.02,0.43,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-05-19,2.99133381,2018,5,19,11,0.829,0.31,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-06-03,17.72743515,2018,6,3,12,1.031,0.5,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-06-03,17.72743515,2018,6,3,11,0.939,0.44,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-06-16,7.616095874,2018,6,16,11,0.94,0.38,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-07-01,13.32887162,2018,7,1,12,1.202,0.74,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-07-01,13.32887162,2018,7,1,11,0.985,0.58,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-07-28,14.60711787,2018,7,28,11,1.207,0.64,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-09-01,17.68715952,2018,9,1,12,0.852,0.35,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-09-01,17.68715952,2018,9,1,11,0.839,0.39,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-09-16,33.13434197,2018,9,16,11,1.008,0.66,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-09-16,33.13434197,2018,9,16,12,0.903,0.52,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-01,16.64070748,2018,10,1,12,0.923,0.47,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-01,16.64070748,2018,10,1,11,1.015,0.59,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-14,11.48702706,2018,10,14,12,0.795,0.31,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-14,11.48702706,2018,10,14,11,0.771,0.36,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-26,0.026074472,2018,10,26,11,1.006,0.33,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-31,22.56092532,2018,10,31,12,0.911,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-31,22.56092532,2018,10,31,11,1.06,0.66,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-11-10,19.59638647,2018,11,10,11,0.838,0.25,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-11-10,19.59638647,2018,11,10,12,1.056,0.45,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-11-13,0,2018,11,13,11,0.932,0.51,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-11-13,0,2018,11,13,12,0.865,0.41,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-08,0,2018,12,8,11,0.931,0.31,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-08,0,2018,12,8,12,1.133,0.53,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-13,0.060865298,2018,12,13,12,0.811,0.3,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-13,0.060865298,2018,12,13,11,0.876,0.43,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-15,14.93585435,2018,12,15,12,0.925,0.54,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-15,14.93585435,2018,12,15,11,1.056,0.72,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-01-09,7.773158164,2019,1,9,11,0.763,0.57,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-01-09,7.773158164,2019,1,9,12,0.881,0.655,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-02-13,22.63123825,2019,2,13,12,0.975,0.794,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-02-21,12.07583546,2019,2,21,11,0.771,0.396,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-02-21,12.07583546,2019,2,21,12,1.059,0.682,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-03-10,11.96326556,2019,3,10,11,0.923,0.681,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-04-22,11.78069736,2019,4,22,12,1.166,0.643,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-04-22,11.78069736,2019,4,22,11,0.93,0.417,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-05-22,13.71919609,2019,5,22,11,0.962,0.439,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-05-22,13.71919609,2019,5,22,12,1.16,0.618,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-06-26,19.17025609,2019,6,26,12,1.187,0.739,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-07-26,27.70884969,2019,7,26,12,1.19,0.791,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-08-17,12.05059271,2019,8,17,11,1.096,0.455,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-08-22,25.40502286,2019,8,22,12,0.955,0.528,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-08-22,25.40502286,2019,8,22,11,1.003,0.567,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-10-04,47.58025874,2019,10,4,12,0.695,0.207,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-10-04,47.58025874,2019,10,4,11,0.741,0.332,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-10-06,27.77782744,2019,10,6,12,1.032,0.677,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-10-21,24.24805191,2019,10,21,11,1.091,0.745,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-10-21,24.24805191,2019,10,21,12,0.96,0.591,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-10-29,0.599948739,2019,10,29,11,1.11,0.498,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-11-30,23.75169356,2019,11,30,12,0.849,0.324,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-11-30,23.75169356,2019,11,30,11,0.739,0.287,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-12-15,13.11009704,2019,12,15,12,0.84,0.3,"low","low","low","oksatellite","perfecttide","perfect satellite"
2019-12-15,13.11009704,2019,12,15,11,0.696,0.187,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-02-13,2.173561165,2020,2,13,12,0.728,0.129,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-02-13,2.173561165,2020,2,13,11,0.644,0.128,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-03-24,24.64783192,2020,3,24,11,1.145,0.605,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-03-29,12.02441936,2020,3,29,12,1.02,0.561,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-03-29,12.02441936,2020,3,29,11,0.908,0.455,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-04-13,17.15348167,2020,4,13,11,0.792,0.39,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-04-13,17.15348167,2020,4,13,12,0.784,0.371,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-04-26,12.41579067,2020,4,26,11,1.003,0.539,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-04-28,17.1102447,2020,4,28,11,0.902,0.512,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-04-28,17.1102447,2020,4,28,12,0.991,0.567,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-05-13,12.81512942,2020,5,13,12,0.947,0.502,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-05-13,12.81512942,2020,5,13,11,0.943,0.556,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-06-12,20.65790743,2020,6,12,12,0.988,0.557,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-06-12,20.65790743,2020,6,12,11,1.026,0.64,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-07-07,8.87704594,2020,7,7,11,1.048,0.475,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-07-27,26.01262506,2020,7,27,12,0.856,0.459,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-07-27,26.01262506,2020,7,27,11,0.998,0.624,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-08-26,25.14369705,2020,8,26,12,1.033,0.789,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-09-03,15.39525896,2020,9,3,11,1.147,0.566,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-09-05,14.99777803,2020,9,5,12,1.088,0.549,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-09-05,14.99777803,2020,9,5,11,0.865,0.356,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-11-29,0,2020,11,29,11,1.178,0.666,"low","low","low","oksatellite","perfecttide","perfect satellite"
2020-12-29,17.51908033,2020,12,29,11,1.165,0.674,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-02-15,38.5348099,2021,2,15,11,0.763,0.295,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-02-15,38.5348099,2021,2,15,12,0.883,0.39,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-03-17,18.36927041,2021,3,17,11,0.821,0.406,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-03-17,18.36927041,2021,3,17,12,0.998,0.504,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-03-22,28.04004352,2021,3,22,12,1.06,0.735,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-03-22,28.04004352,2021,3,22,11,1.064,0.765,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-05-03,18.64914209,2021,5,3,12,0.965,0.634,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-05-03,18.64914209,2021,5,3,11,1.016,0.693,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-05-31,4.754943393,2021,5,31,12,0.877,0.302,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-05-31,4.754943393,2021,5,31,11,0.823,0.39,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-06-17,0,2021,6,17,12,1.051,0.686,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-06-17,0,2021,6,17,11,1.066,0.743,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-08-16,7.529214976,2021,8,16,12,1.003,0.733,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-09-08,40.93366286,2021,9,8,11,1.092,0.414,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-09-13,27.86662038,2021,9,13,12,0.782,0.424,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-09-13,27.86662038,2021,9,13,11,0.941,0.549,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-10-08,19.91071584,2021,10,8,11,1.037,0.41,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-10-13,0.678115173,2021,10,13,11,1.044,0.794,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-10-13,0.678115173,2021,10,13,12,0.909,0.566,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-12-24,0,2021,12,24,12,0.784,0.383,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-12-24,0,2021,12,24,11,0.814,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-11,0.66085054,2022,1,11,12,1.025,0.766,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-18,15.24054173,2022,1,18,11,0.91,0.4,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-18,15.24054173,2022,1,18,12,1.055,0.62,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-21,1.695440888,2022,1,21,12,0.82,0.329,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-21,1.695440888,2022,1,21,11,0.701,0.258,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-23,6.867769634,2022,1,23,12,0.73,0.294,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-23,6.867769634,2022,1,23,11,0.761,0.359,"low","low","low","oksatellite","perfecttide","perfect satellite"
